"nombre","direccion","ciudad","telefono","categoria","tipoAlojamiento","categoriaPrecio","puntuacion","fechaApertura","numComentarios","admiteMascotas","adaptado","latitud","longitud","puntuacion","cadenaHotelera"
"Celtic Manor Resort","Coldra Woods; The Usk Valley; Newport NP18 1HQ","Newport","+34979420627","OTROS","APARTAMENTO","LUJO","5.98","1982-08-01","95652","true","false","52.78345","-67.08204","5.98","H10"
"Radisson Hotel Baltimore Downtown-Inner Harbor","101 West Fayette Street","State of Maryland","+34999380267","CUATRO_ESTRELLAS","BED_AND_BREAKFAST","ALTA","3.28","1967-02-01","32089","false","false","-28.7653754","28.2468148","3.28","Eurostars"
"Bristol Hotel; Odessa","15Pushkinska Street","Odesa (?????)","+34950243293","OTROS","APARTAMENTO","LUJO","7.09","1899-08-01","63669","false","true","-6.2140375","106.8311173","7.09","Iberostar"
"Hyatt Regency Orlando","9801 International Drive","Orange County","+34907943578","TRES_ESTRELLAS","BED_AND_BREAKFAST","LUJO","4.14","1986-07-01","43308","true","true","37.1504622","42.6726771","4.14","Meliá"
"Albion River Inn","3790 N. Highway 1","Albion","+34901702134","UNA_ESTRELLA","BED_AND_BREAKFAST","BAJA","5.88","1982-03-01","184","false","true","51.32372","-113.60475","5.88","Hoteles Catalonia"
"Boots Court Motel","107 S. Garrison Avenue","Carthage; Missouri","+34967490256","DOS_ESTRELLAS","PENSION","BAJA","2.95","1939-03-01","78150","true","true","34.1540161","36.7442377","2.95","Hoteles Catalonia"
"Red Lion Hotel; Cromer","Norfolk","Cromer","+34993913546","OTROS","BED_AND_BREAKFAST","BAJA","6.55","1766-09-01","26742","false","true","50.274287","32.9356191","6.55","H10"
"Hotel Alfonso XIII","Calle San Fernando; 2","Seville","+34968794918","DOS_ESTRELLAS","APARTAMENTO","BAJA","9.8","1929-08-01","97120","false","true","12.532252","124.870243","9.8","Hoteles Catalonia"
"Hyatt Regency Atlanta","265 Peachtree Street NE","State of Georgia","+34979904689","UNA_ESTRELLA","APARTAMENTO","LUJO","4.83","1967-06-01","5655","true","false","55.823907","37.518127","4.83","Barceló"
"Waldo Hotel","West Pike and North 4th Streets","City of Clarksburg","+34985981322","CUATRO_ESTRELLAS","HOTEL","ALTA","5.18","1904-02-01","29578","false","false","-28.3833642","-53.929557","5.18","Silken"
"La Concha Motel","2955Las Vegas BlvdSouth","State of Nevada","+34994999708","TRES_ESTRELLAS","APARTAMENTO","LUJO","8.78","1961-07-01","67152","true","true","36.684789","118.479654","8.78","Meliá"
"Bell Hotel; Thetford","Norfolk","Thetford","+34958050580","OTROS","BED_AND_BREAKFAST","BAJA","2.72","1493-12-01","39655","false","false","-8.7482","116.3038","2.72","Riu"
"Hotel New Otani Tokyo","4-1 Kioi-cho; Chiyoda-Ku","Tokyo Metropolis","+34908934152","CINCO_ESTRELLAS","APARTAMENTO","MEDIA","8.79","1964-12-01","26383","false","true","-5.8406158","-35.9369952","8.79","Eurostars"
"Radha Regent Hotel; Chennai","171;Jawaharlal Nehru Salai;Arumbakkam","Chennai; India","+34902661202","OTROS","BED_AND_BREAKFAST","BAJA","0.24","1997-01-01","91159","false","false","4.632147","-74.463014","0.24","Riu"
"Swiss Diamond Prishtina","Sheshi Nëna Terezë 10000 Prishtina; Kosovo","Pristina","+34935974452","CUATRO_ESTRELLAS","APARTAMENTO","ALTA","6.73","2011-05-01","32415","true","true","41.5094765","19.7710732","6.73","Riu"
"995 Fifth Avenue","995 Fifth Avenue","City of New York","+34949323613","TRES_ESTRELLAS","BED_AND_BREAKFAST","BAJA","1.05","1927-07-01","34607","true","false","-19.0764128","-42.5478901","1.05","Barceló"
"Ritz-Carlton Jakarta","Lingkar Mega Kuningan Street; Kav. E 1.1 No. 1;Jakarta","Kota Administrasi Jakarta Selatan","+34990338463","CUATRO_ESTRELLAS","PENSION","MEDIA","2.42","2005-11-01","9784","false","false","-34.5727938","-58.5041922","2.42","Riu"
"InterContinental Paris Le Grand Hotel","2 rue Scribe","Paris","+34974123333","CINCO_ESTRELLAS","BED_AND_BREAKFAST","MEDIA","5.05","1862-04-01","7327","false","true","-6.150443","106.69511","5.05","Meliá"
"The George Hotel; Reading","Berkshire","Berkshire","+34987451032","DOS_ESTRELLAS","APARTAMENTO","MEDIA","0.9","1423-10-01","42416","true","true","15.399082","119.9327646","0.9","Riu"
"Metropol Palace Hotel Belgrade","Bulevar kralja Aleksandra69","Belgrade","+34965035773","UNA_ESTRELLA","BED_AND_BREAKFAST","BAJA","0.08","1957-03-01","26461","false","false","51.848898","-8.298942","0.08","Hoteles Catalonia"
"Surfcomber Hotel","1717 Collins Avenue","State of Florida","+34986568274","CUATRO_ESTRELLAS","HOTEL","ALTA","6.54","1948-01-01","49115","false","false","40.781499","-7.9131603","6.54","Meliá"
"InterContinental Budapest","Apáczai Csere János u. 12-14","Budapest f?város","+34941164707","DOS_ESTRELLAS","BED_AND_BREAKFAST","LUJO","0.4","1981-03-01","24903","true","false","34.7720133","32.4297369","0.4","Hoteles Catalonia"
"Golden Lion Hotel; Hunstanton","Norfolk","Hunstanton","+34911308210","DOS_ESTRELLAS","APARTAMENTO","BAJA","1.71","1850-06-01","89400","true","false","-7.4842287","112.7330892","1.71","Iberostar"
"Renaissance Center","400 Renaissance Center Drive","State of Michigan","+34958462828","TRES_ESTRELLAS","PENSION","LUJO","6.85","1977-06-01","1562","false","true","0.3332218","34.4877423","6.85","Grupo Piñero"
"Londonskaya Hotel","11 Primorsky Blvd","Odesa (?????)","+34930507936","DOS_ESTRELLAS","HOTEL","ALTA","2.78","1846-06-01","90177","false","true","31.5977","118.45323","2.78","Riu"
"Omni Parker House","60 School Street","Commonwealth of Massachusetts","+34993699294","OTROS","APARTAMENTO","MEDIA","6.53","1855-02-01","62132","true","true","31.210297","96.600578","6.53","Eurostars"
"Seaside Inn","80 Beach Avenue; Kennebunk Beach","Kennebunkport; Maine","+34991357076","TRES_ESTRELLAS","BED_AND_BREAKFAST","LUJO","6.34","1667-02-01","7879","true","false","41.76","-72.69","6.34","Barceló"
"The Statler Hotel & Residences","1914 Commerce Street","State of Texas","+34909167736","DOS_ESTRELLAS","HOTEL","ALTA","6.19","1956-05-01","63913","true","true","-8.2986261","114.2301337","6.19","Palladium"
"Steigenberger Parkhotel Düsseldorf","Königsallee1a","Düsseldorf","+34922644230","CUATRO_ESTRELLAS","PENSION","BAJA","3.62","1902-12-01","37632","true","false","47.1844184","35.1072745","3.62","Palladium"
"Royal Horseguards Hotel","London","London","+34922297978","CUATRO_ESTRELLAS","BED_AND_BREAKFAST","BAJA","4.54","1884-10-01","61545","false","true","56.0817105","14.4878816","4.54","Hoteles Catalonia"
"Corinthia Hotel Khartoum","Nile Road","Khartoum","+34975769901","UNA_ESTRELLA","HOTEL","MEDIA","1.58","2008-12-01","44637","false","false","2.6707039","72.8914233","1.58","Meliá"
"Akboria","Kazi Nazrul Islam Road","Rajshahi Division","+34933462343","UNA_ESTRELLA","HOTEL","ALTA","1.18","1905-04-01","19925","true","true","49.4390256","16.6408689","1.18","H10"
"London Hilton on Park Lane","22 Park Lane","London","+34989453733","TRES_ESTRELLAS","PENSION","BAJA","4.13","1963-12-01","7569","true","true","22.4423218","114.1655064","4.13","Palladium"
"Imperial Hotel (California)","14202 Old Hwy 49","Amador City; California","+34989246982","TRES_ESTRELLAS","BED_AND_BREAKFAST","ALTA","6.08","1879-05-01","13585","true","false","-19.6339763","17.3316667","6.08","Silken"
"Plaza Athénée","25 avenue Montaigne","Paris","+34928839406","OTROS","PENSION","BAJA","5.09","1911-04-01","35697","true","true","13.6867437","123.1989968","5.09","Iberostar"
"Breidenbacher Hof","Königsallee11","Düsseldorf","+34924404306","TRES_ESTRELLAS","PENSION","LUJO","2.02","1806-01-01","22555","true","false","-1.1939843","34.6165033","2.02","Hoteles Catalonia"
"Dalen Hotel","Hotellvegen 33","Dalen","+34921731333","CINCO_ESTRELLAS","HOTEL","ALTA","8.79","1894-03-01","5308","false","false","-28.8394041","-66.9476782","8.79","Riu"
"Taj Connemara","2; Binny Road; offAnna Salai","Chennai; India","+34913360317","UNA_ESTRELLA","PENSION","MEDIA","6.27","1854-06-01","71709","false","false","61.722009","23.3256027","6.27","Silken"
"Hôtel des Mille Collines","2KN 6th Ave","Kigali","+34927623595","UNA_ESTRELLA","BED_AND_BREAKFAST","BAJA","0.72","1973-04-01","83245","false","true","55.9353544","37.4864125","0.72","H10"
"Hotel Druk","Clocktower Square; Thimphu","Thimphu","+34973585031","CINCO_ESTRELLAS","PENSION","LUJO","0.95","1974-02-01","5799","false","false","49.1112563","6.7220343","0.95","Eurostars"
"Gallery Park Hotel; Riga","7; Kr.Valdemara Street; Riga; LV 1010","Riga","+34954551523","CINCO_ESTRELLAS","BED_AND_BREAKFAST","ALTA","4.46","2009-10-01","26449","true","false","-7.0303222","108.6368609","4.46","Grupo Piñero"
"Taj Boston","15 Arlington Street","Commonwealth of Massachusetts","+34919499406","TRES_ESTRELLAS","PENSION","ALTA","8.4","1927-08-01","3753","true","false","-6.8300602","110.8374104","8.4","H10"
"The Roosevelt New Orleans","130 Roosevelt Way; New Orleans; LA 70112","State of Louisiana","+34945042732","OTROS","APARTAMENTO","BAJA","5.72","1893-11-01","29331","true","false","34.9904542","126.4816856","5.72","Palladium"
"White Swan Hotel; Alnwick","18–20 Bondgate Within","Alnwick","+34972699030","CINCO_ESTRELLAS","BED_AND_BREAKFAST","MEDIA","1.54","1918-07-01","23458","false","true","52.5593605","-8.3545704","1.54","Eurostars"
"Hotel Le Plaza; Brussels","Boulevard Adolphe Max 118-126","Brussels","+34944920055","TRES_ESTRELLAS","BED_AND_BREAKFAST","MEDIA","1.09","1930-03-01","78230","false","true","60.008624","30.412653","1.09","Iberostar"
"Grand Wailea Resort","3850 Wailea Alanui Drive","State of Hawaii","+34995821272","TRES_ESTRELLAS","HOTEL","ALTA","6.36","1991-04-01","75881","false","false","41.336619","112.4610436","6.36","Palladium"
"Hotel Jugoslavija","Bulevar Nikole Tesle 3","City of Belgrade","+34979468237","CINCO_ESTRELLAS","PENSION","MEDIA","0.04","1969-12-01","21189","false","false","56.0674256","98.4613454","0.04","Palladium"
"Barclay Hotel","237 S. 18th Street","Philadelphia; Pennsylvania","+34952868354","UNA_ESTRELLA","BED_AND_BREAKFAST","MEDIA","4.79","1929-05-01","34269","false","false","50.2350707","38.0596975","4.79","Silken"
"Hotel Jerome","330 E. Main St.","State of Colorado","+34949855254","DOS_ESTRELLAS","HOTEL","ALTA","6.55","1889-03-01","33700","true","true","49.7961202","6.2871406","6.55","Barceló"
"Hotel Ambos Mundos (Havana)","Calle Obispo (""Bishop Street"") no. 153; La Habana","Havana","+34921055925","UNA_ESTRELLA","HOTEL","BAJA","9.76","1925-05-01","35768","true","true","-7.3118486","108.6383454","9.76","Hoteles Catalonia"
"John's Modern Cabins","U.S. Route 66","Newburg; Missouri","+34914932267","CUATRO_ESTRELLAS","APARTAMENTO","BAJA","3.36","1931-09-01","52804","true","false","-5.6455578","-37.8512309","3.36","Iberostar"
"Corinthia Hotel London","Whitehall Place","London","+34921391511","DOS_ESTRELLAS","APARTAMENTO","LUJO","4.79","1885-10-01","98733","false","true","38.822691","114.35056","4.79","H10"
"Luxe Rodeo Drive Hotel","360 North Rodeo Drive","State of California","+34958784898","OTROS","APARTAMENTO","LUJO","4.63","1993-02-01","52954","true","true","59.3245933","17.9509504","4.63","Barceló"
"Arlington Hotel (Hot Springs National Park)","238 Central Avenue","State of Arkansas","+34929776558","OTROS","APARTAMENTO","ALTA","1.16","1911-12-01","2071","false","false","40.7165064","22.7279233","1.16","Meliá"
"The Forbury Hotel","Berkshire","Berkshire","+34972764911","CINCO_ESTRELLAS","HOTEL","MEDIA","1.04","2006-06-01","44979","true","true","39.91983","116.41571","1.04","Grupo Piñero"
"Renaissance Malmö Hotel","15; Mäster Johansgatan","Malmö","+34917705498","TRES_ESTRELLAS","BED_AND_BREAKFAST","BAJA","8.4","2010-09-01","58580","false","false","-8.7035662","116.2245553","8.4","Riu"
"The Michelangelo","152 West 51st Street","New York City","+34953166518","TRES_ESTRELLAS","HOTEL","ALTA","5.43","1926-05-01","36317","false","true","32.388662","119.39402","5.43","H10"
"Manor Hotel; Mundesley","Norfolk","Mundesley","+34993920910","UNA_ESTRELLA","PENSION","ALTA","1.12","1900-04-01","34568","false","true","39.3253135","-9.232542","1.12","Hoteles Catalonia"
"Carter House Inn","301 L Street","Eureka; California","+34923929400","DOS_ESTRELLAS","PENSION","ALTA","6.67","1982-02-01","94315","false","true","34.4203709","73.2008084","6.67","Palladium"
"The Murray Hotel","201 West Park Street; Livingston; Montana 59047","Livingston; Montana","+34993754466","OTROS","PENSION","ALTA","5.01","1904-11-01","91426","false","false","9.442952","-75.5509602","5.01","Silken"
"Dhaka Westin","Main Gulshan Avenue; Plot-01; Road 45;Gulshan-2;Dhaka1212;Bangladesh","Dhaka","+34975607908","UNA_ESTRELLA","PENSION","MEDIA","2.87","2006-08-01","64084","true","true","32.1775145","-5.4784365","2.87","Meliá"
"Boscolo Exedra Roma","Piazza della Repubblica; 47","Rome","+34927648527","DOS_ESTRELLAS","PENSION","BAJA","2.89","2000-12-01","98513","false","true","-6.8300602","110.8374104","2.89","H10"
"Cliftonville Hotel; Cromer","Norfolk","Cromer","+34929866133","OTROS","BED_AND_BREAKFAST","MEDIA","8.11","1894-06-01","20432","true","false","17.659685","121.692832","8.11","Riu"
"Malmaison Hotel; Reading","Reading","Berkshire","+34965334267","OTROS","HOTEL","MEDIA","7.12","1844-04-01","30711","false","true","-6.7594317","111.4484559","7.12","H10"
"Millennium Biltmore Hotel","506 SouthGrand Avenue;Downtown Los Angeles","State of California","+34945694678","TRES_ESTRELLAS","PENSION","ALTA","0.44","1923-05-01","84375","true","true","25.866694","118.932592","0.44","Barceló"
"The Langham Huntington; Pasadena","1401 South Oak Knoll Avenue","Pasadena; California","+34942726593","OTROS","APARTAMENTO","MEDIA","1.29","1907-01-01","38341","true","true","19.1414862","105.6257432","1.29","Riu"
"Corinthia Hotel Tripoli","Souk Al Thulatha Al Gadim","??????","+34914788556","CINCO_ESTRELLAS","APARTAMENTO","ALTA","5.48","2003-01-01","52518","true","true","29.7905037","72.1747127","5.48","Iberostar"
"Grand Hotel et de Milan","Via Manzoni; 29","Milan","+34935277602","OTROS","APARTAMENTO","BAJA","7.09","1863-08-01","42152","false","false","-7.3251485","108.3607464","7.09","Palladium"
"Francis Hotel; Bath","No.9;Queen Square","Bath","+34902618602","DOS_ESTRELLAS","BED_AND_BREAKFAST","LUJO","2.02","1858-04-01","81424","false","false","41.5256088","-8.346058","2.02","H10"
"Hotel Nikko Düsseldorf","Immermannstraße 41","Düsseldorf","+34904923222","TRES_ESTRELLAS","BED_AND_BREAKFAST","MEDIA","6.6","1978-01-01","95524","false","true","33.3074734","130.3745544","6.6","Palladium"
"Hôtel de Paris Monte-Carlo","Place du Casino","Monte Carlo","+34931483302","UNA_ESTRELLA","HOTEL","MEDIA","8.06","1863-02-01","56777","true","true","14.5473421","120.997522","8.06","Eurostars"
"Munger-Moss Motel","1336 EastUS 66;","Lebanon; Missouri","+34910918998","OTROS","BED_AND_BREAKFAST","MEDIA","6.85","1936-09-01","61847","true","true","8.60972","-13.19","6.85","Iberostar"
"Hyatt Regency Belgrade","Belgrade 11000","City of Belgrade","+34986890521","OTROS","PENSION","BAJA","7.44","1990-06-01","56382","false","true","36.85608","81.660646","7.44","Palladium"
"Hotel Alex Johnson","523 Sixth Street","City of Rapid City","+34925908632","OTROS","APARTAMENTO","MEDIA","5.78","1928-08-01","51293","false","true","30.898495","118.891482","5.78","Hoteles Catalonia"
"Fisherman's Cove","Chennai;Tamil Nadu603 112","Chennai; India","+34960219146","DOS_ESTRELLAS","HOTEL","ALTA","7.07","1974-01-01","51681","true","true","57.5394675","28.0121149","7.07","Silken"
